year,ward,cost,category,program,description,FNODE_ID,TNODE_ID,OBJECTID,TRANS_ID,PRE_DIR,STREET_NAM,STREET_TYP,F_CROSS,T_CROSS,MIN_ADDR,MAX_ADDR
2012,6,"$1,166.00",Miscellaneous,Miscellaneous Other,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,7113,17771,5635,130298,E,83RD,ST,8300 S CALUMET AVE ,8300 S DR MARTIN LUTHER KING JR DR ,342,380
2012,6,"$1,166.00",Miscellaneous,Miscellaneous Other,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,17771,30234,46066,130256,E,83RD,ST,8300 S DR MARTIN LUTHER KING JR DR ,8299 S VERNON AVE ,400,428
2012,6,"$38,833.00",Streets & Transportation,Street Resurfacing Menu,ON E 85TH ST FROM S STATE ST (0 E) TO S WABASH AV (44 E),7510,7569,22941,130888,E,85TH,ST,8500 S STATE ST ,8500 S WABASH AVE ,1,36
2012,6,"$64,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON UNION FROM W 66 ST (6600 S) TO W MARQUETTE RD (6700 S),,,,,,,,,,,
2012,6,"$1,152,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON ST LAWRENCE FROM E 71 ST (7100 S) TO E 87 ST (8700 S),,,,,,,,,,,
2012,7,"$3,657.00",Streets & Transportation,Curb & Gutter Menu,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),18295,34071,36087,128599,E,74TH,ST,7400 S OGLESBY AVE ,7400 S YATES BLVD ,2332,2359
2012,7,"$3,657.00",Streets & Transportation,Curb & Gutter Menu,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),34072,18295,40755,128603,E,74TH,ST,7400 S CRANDON AVE ,7400 S OGLESBY AVE ,2300,2327
2012,7,"$68,566.00",Streets & Transportation,Curb & Gutter Menu,ON CRANDON FROM E 96 ST (9540 S) TO E 97 ST (9713 S),,,,,,,,,,,
2012,7,"$6,668.00",Streets & Transportation,Sidewalk Menu,ON EXCHANGE FROM E 75 ST (7470 S) TO E 76 ST (7570 S),,,,,,,,,,,
2012,7,"$42,840.00",Streets & Transportation,Street Resurfacing Menu,ON E 74TH ST FROM S COLES AV (2646 E) TO S SOUTH SHORE DR (2728 E),17746,6641,49054,124434,E,74TH,ST,7400 S COLES AVE ,7400 S SOUTH SHORE DR ,2646,2687
2012,7,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON E CHELTENHAM PL FROM S COLES AV (3032 E) TO S SOUTH SHORE DR (3098 E),13490,11939,26857,124516,E,CHELTENHAM,PL,7877 S COLES AVE ,7843 S SOUTH SHORE DR ,3046,3085
2012,7,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON E 89TH ST FROM S CRANDON AV (2300 E) TO S OGLESBY AV (2332 E),20003,4277,30768,140726,E,89TH,ST,8900 S CRANDON AVE ,8900 S OGLESBY AVE ,2300,2325
2012,8,"$57,537.00",Streets & Transportation,Curb & Gutter Menu,ON E 83RD ST FROM S CRANDON AV (2300 E) TO S OGLESBY AV (2332 E),14957,33252,19217,129980,E,83RD,ST,8300 S CRANDON AVE ,8300 S OGLESBY AVE ,2300,2327
2012,8,"$22,199.00",Streets & Transportation,Curb & Gutter Menu,ON E 86TH ST FROM S DANTE AV (1433 E) TO S BLACKSTONE AV (1504 E),8047,7679,21427,130792,E,86TH,ST,8600 S DANTE AVE ,8600 S BLACKSTONE AVE ,1432,1459
2012,8,"$6,761.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON 85 FROM Dead End (1269 E) TO S AVALON AV (1272 E),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON CLYDE FROM E 79 ST (7900 S) TO E 81 ST (8100 S),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON CRANDON FROM E 83 ST (8300 S) TO E 85 ST (8500 S),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON UNIVERSITY FROM E 95 ST (9500 S) TO E 97 ST (9700 S),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON DANTE FROM E 79 ST (7900 S) TO E 81 ST (8100 S),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON INGLESIDE FROM E 97 ST (9700 S) TO E 99 ST (9900 S),,,,,,,,,,,
2012,8,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON AVALON FROM E 85 ST (8500 S) TO E 87 ST (8700 S),,,,,,,,,,,
2012,8,$350.00,Lighting,Street Light Upgrade,8836 S EUCLID AVE,,,,,,,,,,,
2012,8,$350.00,Lighting,Street Light Upgrade,837 E 88TH PL,,,,,,,,,,,
2012,8,$350.00,Lighting,Street Light Upgrade,1837 E 90TH ST,,,,,,,,,,,
2012,9,"$93,931.00",Streets & Transportation,Curb & Gutter Menu,ON E 122ND PL FROM S STATE ST (0 E) TO S MICHIGAN AV,27543,35235,29741,139126,E,122ND,PL,12233 S STATE ST ,12233 S MICHIGAN AVE ,1,52
