FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
24103,1200 S WOOD ST ,1859,1800,50231,W,ROOSEVELT,RD,18407,114907,1200 S WOLCOTT AVE ,Streets & Transportation,3500.0,W ROOSEVELT RD & S WOOD ST,Traffic Equipment,2,2012
18406,1200 S PAULINA ST ,1729,1700,17415,W,ROOSEVELT,RD,18638,114908,1199 S HERMITAGE AVE ,Streets & Transportation,3500.0,W ROOSEVELT RD & S PAULINA ST,Traffic Equipment,2,2012
21852,1200 S ASHLAND AVE ,1659,1600,55672,W,ROOSEVELT,RD,18406,115328,1200 S PAULINA ST ,Streets & Transportation,3500.0,W ROOSEVELT RD & S PAULINA ST,Traffic Equipment,2,2012
10501,100 E 48TH ST ,4859,4800,14430,S,MICHIGAN,AVE,31347,125726,100 E 49TH ST ,Streets & Transportation,8666.0,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S),Alley Apron Menu,3,2012
31347,100 E 49TH ST ,4959,4900,41659,S,MICHIGAN,AVE,8941,125736,100 E 50TH ST ,Streets & Transportation,8666.0,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S),Alley Apron Menu,3,2012
11516,3735 S STATE ST ,34,1,38840,E,37TH,PL,34338,119442,3735 S WABASH AVE ,Streets & Transportation,51363.0,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E),Curb & Gutter Menu,3,2012
1413,2 W CERMAK RD ,2259,2200,2993,S,STATE,ST,758,119383,2 W 23RD ST ,Streets & Transportation,550.0,S STATE ST & W 23RD ST,In-Road 'State Law Stop For Pedestrians' Signs Menu,3,2012
,,,,,,,,,,,Beautification,3370.0,4700 S LASALLE ST Decorative Plaza Planter Fencing,Miscellaneous Other,3,2012
14215,4300 S DR MARTIN LUTHER KING JR DR ,373,369,8009,E,43RD,ST,6033,125291,4300 S DR MARTIN LUTHER KING JR DR ,Beautification,680.0,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,Miscellaneous Other,3,2012
6033,4300 S DR MARTIN LUTHER KING JR DR ,381,378,15294,E,43RD,ST,14214,125193,4301 S DR MARTIN LUTHER KING JR DR ,Beautification,680.0,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,Miscellaneous Other,3,2012
34800,4300 S CALUMET AVE ,367,338,26624,E,43RD,ST,14215,125237,4300 S DR MARTIN LUTHER KING JR DR ,Beautification,680.0,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,Miscellaneous Other,3,2012
14214,4301 S DR MARTIN LUTHER KING JR DR ,430,400,41040,E,43RD,ST,14213,125187,4300 S VERNON AVE ,Beautification,680.0,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,Miscellaneous Other,3,2012
