year,ward,cost,category,program,description
2012,3,"$43,800.00",Lighting,Street Light Upgrade,ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 S)
2012,3,$350.00,Lighting,Street Light Upgrade,501 E 44TH PL
2012,3,"$1,800.00",Lighting,Street Light Upgrade,ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200 E)
2012,3,$427.00,Lighting,Street Light Upgrade,5048 S INDIANA AVE
2012,3,"$2,100.00",Lighting,Street Light Upgrade,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S)
2012,3,$800.00,Lighting,Street Light Upgrade,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E)
2012,3,$500.00,Lighting,Street Light Upgrade,4753 S FORRESTVILLE AVE
2012,4,"$18,351.00",Streets & Transportation,Alley Resurfacing Menu,E 47TH ST & E 47TH PL & S DREXEL BLVD & S COTTAGE GROVE AVE
2012,4,"$5,844.00",Streets & Transportation,Alley Resurfacing Menu,S GREENWOOD AVE & S ELLIS AVE & E 47TH ST & E 48TH ST
2012,4,"$60,751.00",Streets & Transportation,Curb & Gutter Menu,ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 S)
2012,4,"$13,521.00",Streets & Transportation,Curb & Gutter Menu,ON E 42ND PL FROM S COTTAGE GROVE AV (800 E) TO S DREXEL AV (900 E)
2012,4,"$29,629.00",Streets & Transportation,Curb & Gutter Menu,ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E)
2012,4,"$4,216.00",Streets & Transportation,Curb & Gutter Menu,ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S)
2012,4,"$200,000.00",Miscellaneous,Miscellaneous Other,Harper Ave.
2012,4,"$19,903.00",Miscellaneous,Miscellaneous Other,ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E)
2012,4,"$20,253.00",Streets & Transportation,Sidewalk Menu,ON S KIMBARK AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S)
2012,4,"$16,421.00",Streets & Transportation,Sidewalk Menu,ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E)
2012,4,"$22,812.00",Streets & Transportation,Sidewalk Menu,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S
2012,4,"$28,386.00",Streets & Transportation,Sidewalk Menu,ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E)
2012,4,"$11,468.00",Streets & Transportation,Sidewalk Menu,ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S)
2012,4,"$4,335.00",Streets & Transportation,Sidewalk Menu,ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S)
2012,4,"$71,664.00",Streets & Transportation,Sidewalk Menu,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E)
2012,4,"$22,887.00",Streets & Transportation,Sidewalk Menu,ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S)
2012,4,"$22,148.00",Streets & Transportation,Street Resurfacing Menu,ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E)
2012,4,"$34,476.00",Streets & Transportation,Street Resurfacing Menu,ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE PARK BV (5100 S)
2012,4,"$15,299.00",Streets & Transportation,Street Resurfacing Menu,ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S DREXEL (W) AV(831 E)
2012,4,"$49,392.00",Streets & Transportation,Street Resurfacing Menu,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E)
2012,4,"$52,350.00",Streets & Transportation,Street Resurfacing Menu,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E)
2012,4,"$39,743.00",Streets & Transportation,Street Resurfacing Menu,ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S)
2012,4,"$32,357.00",Streets & Transportation,Street Resurfacing Menu,ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD (3842 S)
2012,4,"$57,448.00",Streets & Transportation,Street Resurfacing Menu,ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK BV (5171 S)
2012,4,"$38,034.00",Streets & Transportation,Street Resurfacing Menu,ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 S)
2012,4,"$58,378.00",Streets & Transportation,Street Resurfacing Menu,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E)
2012,4,"$78,733.00",Streets & Transportation,Street Resurfacing Menu,ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53 ST (5242 S)
2012,4,"$89,974.00",Streets & Transportation,Street Resurfacing Menu,ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S)
